date,city,state,venue,other_acts,show_type,note
2024-03-07,Portland,OR,Mississippi Studios,Kevin Devine,S,"this is a note"
2024-03-05,San Francisco,CA,Bottom of the Hill,Kevin Devine,S,
2024-03-04,Sacrameno,CA,The Starlet Room,Kevin Devine,S,
2024-03-02,San Diego,CA,Soda Bar,Kevin Devine,S,
2024-03-01,Los Angeles,CA,The Echo,Kevin Devine,S,
2024-02-29,Phoenix,AZ,Valley Bar,Kevin Devine,S,
2024-02-16,New York,NY,Le Poisson Rouge,Kevin Devine,T,
2022-03-11,Brooklyn,NY,Knitting Factory,Joanna Sternberg,T,Dig Up the Dead anniversary show
2020-06-26,Seattle,WA,Live Stream,,D,
2020-03-07,Seattle,WA,Victory Lounge,"Holy Pinto, Talkin and Easy, Alpine Lakes",T,
2019-08-24,Seattle,WA,Victory Lounge,"Usury, Young Elk",T,
2019-07-11,Seattle,WA,Clock-Out Lounge,"Hugo Drax, Babie",T,
2019-02-21,Seattle,WA,The Crocodile,Cavetown,S,
2018-11-05,Seattle,WA,The Vera Project,Holy Wave,T,
2018-07-06,Seattle,WA,Clock-Out Lounge,"Dearheart, Greet the Sea",T,
2018-01-06,Seattle,WA,Victory Lounge,"Usury, Johnny Raincloud",T,
2017-12-01,Seattle,WA,The Vera Project,The Landmarks,T,
2017-10-27,Seattle,WA,House Party,Dearheart,T,
2017-05-27,Louisville,KY,Kaiju,Sophomore Lounge 10th Anniversary,S,
2015-11-10,Seattle,WA,Everyday Music,State Champion,S,
2015-03-28,Seattle,WA,Scratch Deli,Tiny Baby Talk Show,S,"Two acoustic songs at a comedy show, video <a href=""https://youtu.be/BRgKmFWaR5o?t=1955"">here</a>."
2014-11-23,San Luis Obispo,CA,SLO Brewing Company,Minus the Bear,T,
2014-11-22,Pomona,CA,Glass House,Minus the Bear,T,
2014-11-21,San Diego,CA,Casbah,Minus the Bear,T,
2014-11-20,San Francisco,CA,Slim's,Minus the Bear,T,
2014-11-01,Seattle,WA,The Crocodile,Minus the Bear,T,
2014-05-31,Seattle,WA,Scratch Deli,Tiny Baby Talk Show,S,
2014-05-29,Seattle,WA,Sole Repair Shop,,S,
2014-05-17,Portland,OR,Hawthorne Theatre ,"Hello Goodbye, Vacationer",T,
2014-05-16,Seattle,WA,The Crocodile,"Hello Goodbye, Vacationer",T,
2014-04-14,Cleveland,OH,Grog Shop,"La Dispute, Pianos Become the Teeth",T,
2014-04-13,Grand Rapids,MI,Pyramid Scheme,"La Dispute, Pianos Become the Teeth",T,
2014-04-12,Pittsburgh,PA,Altar Bar,"La Dispute, Pianos Become the Teeth",T,
2014-04-11,Philadelphia,PA,Union Transfer,"La Dispute, Pianos Become the Teeth",T,
2014-04-10,Brooklyn,NY,Music Hall of Williamsburg,"La Dispute, Pianos Become the Teeth",T,
2014-04-09,Cambridge,MA,The Sinclair,"La Dispute, Pianos Become the Teeth",T,
2014-04-08,Montréal,QC,La Sala Rossa,"La Dispute, Pianos Become the Teeth",T,
2014-04-07,Toronto,ON,Opera House,"La Dispute, Pianos Become the Teeth",T,
2014-04-06,Pontiac,MI,The Crofoot Ballroom,"La Dispute, Pianos Become the Teeth",T,
2014-04-05,Chicago,IL,Metro,"La Dispute, Pianos Become the Teeth",T,
2014-04-04,Burnsville,MN,The Garage,"La Dispute, Pianos Become the Teeth",T,
2014-04-01,Seattle,WA,El Corazon,"La Dispute, Pianos Become the Teeth",T,
2014-03-31,Portland,OR,Branx,"La Dispute, Pianos Become the Teeth",T,
2014-03-29,San Francisco,CA,Slim's,"La Dispute, Pianos Become the Teeth",T,
2014-03-28,Santa Cruz,CA,Catalyst Atrium,"La Dispute, Pianos Become the Teeth",T,
2014-03-27,Los Angeles,CA,The Echoplex,"La Dispute, Pianos Become the Teeth",T,
2014-03-26,Pomona,CA,Glasshouse Music Hall,"La Dispute, Pianos Become the Teeth",T,
2014-03-25,Mesa,AZ,The Nile Theater,"La Dispute, Pianos Become the Teeth",T,
